accreditation_type_id;accreditation_type_value;accreditation_type_abreviation;accreditation_type_description;accreditation_type_params;accreditation_type_attributs;accreditation_type_stat
1;artificial;parse bi-d;SSL Computer Inlet;software ubiquitous Concrete;user-centric primary;true
2;Frozen United grey;mindshare;transmitting;matrices;Account e-commerce;false
3;program solutions Jamaican;Plastic;open-source generate;Producer Outdoors;aggregate Franc;true
4;Kentucky out-of-the-box Awesome;Delaware C;transmitter Turnpike human-resource;exploit Chicken;Fresh Alaska Rupiah;false
5;EXE Cheese;Hat;SDD Lights Buckinghamshire;bypassing;bypassing;false
6;Dynamic Salad;Fantastic;Extended;Hat;dedicated bandwidth;true
7;deliverables;Avon micro;Bike Devolved;mesh;Center global Turnpike;true
8;hour;Grocery Of;Shoes Business-focused backing;methodologies;optimize seamless Alaska;true
9;Soft payment;Manors Fro;Reunion orchid Architect;panel;cross-platform;true
10;Macedonia Kwanza;red;deposit Gabon;drive;B2B;false
