attachement_type_id;attachement_type_name;attachement_type_description;attachement_type_params;attachement_type_attributs;attachement_type_stat
1;Future Cotton lime;Handcrafted;Estonia payment Cotton;Triple-buffered;true
2;vertical olive Integration;withdrawal;next Account;Car;true
3;Refined Berkshire Customer-focused;Ergonomic Avon up;Multi-tiered COM deposit;Tuvalu;false
4;connect programming;synergize;Research next;Steel Handcrafted;false
5;capacitor Executive RSS;Balboa Fresh Refined;human-resource;override Legacy;true
6;Markets benchmark;Small plum;parsing Guinea monitor;Identity pixel interface;true
7;payment Franc;Kentucky;Metal Personal Refined;grid-enabled;false
8;out-of-the-box copying Engineer;Maryland;reinvent infomediaries;Grocery Cuban unleash;false
9;capacitor;synthesize innovate infrastructure;payment;Shoes;true
10;neural Colon;THX Direct;Savings generate Washington;redundant Small;true
