authentification_type_id;authentification_type_value;authentification_type_description;authentification_type_params;authentification_type_attributs;authentification_type_stat
1;Enterprise-wide Armenian;Ball;Awesome;Tactics Electronics Account;true
2;Minnesota;reboot;Executive SQL;quantifying Gloves Intelligent;true
3;metrics Architect;Trafficway Home 1080p;National;Chair Licensed Namibia;false
4;open Island;state;synthesize ivory;invoice Infrastructure;false
5;24 USB;Berkshire;Computer circuit;Kyat GB;true
6;Wooden;copying National;back Solutions Visionary;Namibia;true
7;lime AI Metal;content Games calculate;Liberian Granite and;Account next;false
8;Lights Automotive;firewall invoice yellow;Usability;SMTP;false
9;Licensed Virginia;Reactive reboot;HTTP Sudanese;incremental;false
10;Metal pink customized;Netherlands Romania;Kids Incredible;lime Account;true
