city_id;city_name;city_zip_code;city_abreviation;city_description;city_params;city_attributs;city_stat
1;aggregate;Functionality generate Salad;Polarised ;Mexico ubiquitous Functionality;pink Investor Loan;Lucia Dinar content;false
2;India Dynamic Cambridgeshire;bleeding-edge Legacy Handcrafted;real-time ;Program Global;interactive;wireless;false
3;Assimilated;wireless Computer;Division W;Strategist override;Ball Gloves;Concrete Consultant next;true
4;magenta;Card circuit;Global yel;Devolved Lodge protocol;Gabon Refined;Granite niches Plastic;false
5;Intranet best-of-breed;Plastic;brand Hat;back-end;invoice Guinea;reboot mobile;false
6;deposit;Licensed;Director c;out-of-the-box Program transmitting;Central Architect monetize;Granite;false
7;USB;Jordanian;one-to-one;Developer capacitor;superstructure algorithm;Pizza Directives;true
8;SCSI;Gorgeous;PCI hard;Fundamental Chips;Fantastic;deposit white Italy;false
9;Wisconsin Grenada;Jersey Persistent;Mountain;Cliff envisioneer withdrawal;connect Fresh;payment;false
10;Greenland;invoice Senior Response;USB Rustic;Paradigm system Fish;Kentucky withdrawal bandwidth-monitored;Pizza Practical;false
