cloning_id;cloning_description;cloning_old_event_id;cloning_new_event_id;cloning_user_id;cloning_date;cloned_entitys;cloned_params;cloned_attributs;cloned_stat
1;Dynamic;25394;30912;45987;2023-03-31T03:31:01;Stand-alone Handmade Generic;Montana Awesome capacity;Unbranded;false
2;Handcrafted auxiliary Down-sized;8903;56219;12409;2023-03-31T18:38:06;Data;policy Avon maximize;Points;true
3;Market copying;37565;55679;20110;2023-03-31T16:07:02;Handcrafted;back-end;input online optical;true
4;Sleek;39442;93685;62683;2023-03-31T23:59:23;Chilean protocol Orchard;Human synergistic Shirt;Associate;true
5;Specialist Investment;83874;1374;38241;2023-04-01T00:32:56;orange paradigm quantifying;Bedfordshire;Practical;true
6;Operative blockchains Sleek;8431;58186;83287;2023-03-31T08:51:57;interactive Rubber;sexy;haptic;true
7;National;24965;20078;82603;2023-04-01T01:54:57;Table Executive;copy Computer Lead;Manager Rustic Account;true
8;Awesome Metal Soft;90204;88741;5183;2023-04-01T01:29:28;distributed Producer Customizable;innovate hacking stable;wireless;true
9;Response compressing;2703;26379;89222;2023-04-01T01:40:52;open-source ROI Soap;withdrawal De-engineered;Fresh withdrawal Fresh;true
10;proactive Savings;19057;58686;87263;2023-03-31T06:34:31;copy;olive Security;bypassing Chile generate;true
