code_id;code_for_entity;code_entity_value;code_value;code_used;code_params;code_attributs;code_stat
1;synergies;Switzerland;paradigms;true;Ergonomic Chicken;global;true
2;Slovakia deposit;Shoes Officer;Operations Toys;true;navigating solution-oriented Forint;leverage;true
3;seize;Corporate Cheese;New;true;emulation Liechtenstein Cambridgeshire;artificial Markets unleash;true
4;empower Cedi Cheese;Planner;invoice Harbor lime;false;Pizza;haptic Response HDD;false
5;strategic Shirt multi-state;intangible;Generic;true;firewall Principal Avon;Borders Games;false
6;e-enable client-server transmit;Tools TCP;override Berkshire state;false;Avon magnetic reboot;invoice Small Vista;false
7;enhance circuit PNG;Engineer;Congo support;false;Computer;maximized;false
8;Research Lari system;Small;virtual;false;Infrastructure Auto;Gorgeous;false
9;solutions;alarm Turnpike Fully-configurable;Green;true;capacitor hacking;navigate Assistant;false
10;Sausages Buckinghamshire;monitoring deposit capability;killer Steel content-based;false;Movies feed Hampshire;Intuitive;true
