code_type_id;code_type_value;code_type_description;code_type_params;code_type_attributs;code_type_stat
1;Unbranded Monitored Licensed;markets Implementation;Sausages visionary;parse Intelligent;true
2;deploy;maximize;TCP;Representative program Solutions;true
3;withdrawal Producer;Pines Towels Metal;e-business;calculating Baby;false
4;Kroon;efficient;Human Cotton Mauritania;management;false
5;Borders Delaware data-warehouse;transform Customer Fantastic;needs-based Producer;lime;true
6;incentivize Arizona e-enable;Cambridgeshire;Licensed;compelling Soap;true
7;channels;Cross-group invoice Gourde;relationships target;multi-state;false
8;Jewelery Rubber reboot;Account Computer;withdrawal cross-media;California;true
9;Officer;rich CSS;Progressive initiative;Visionary Handmade e-tailers;true
10;Toys;De-engineered;HDD Legacy feed;parsing;false
