form_id;form_name;form_description;form_params;form_attributs;form_stat
1;synergies;Refined proactive;Home;Buckinghamshire;true
2;Bacon streamline discrete;mobile;Specialist scale;compressing application;true
3;IB Automotive North;bottom-line white;matrix Cross-group;Secured;true
4;state Wooden;Diverse;Small;deposit hardware;false
5;Toys;Som;backing turquoise;enhance Table;true
6;connect Credit;explicit;South silver Manors;connecting;true
7;Future Fish;primary Metal;microchip Architect;Gorgeous;true
8;calculating;paradigms data-warehouse Rest;Factors Web;redundant directional parse;false
9;Eritrea Cotton;Analyst CSS;Buckinghamshire Checking CSS;Strategist leverage;true
10;SMS;wireless Buckinghamshire;hardware;Chips Buckinghamshire;true
