info_supp_id;info_supp_name;info_supp_description;info_supp_params;info_supp_attributs;info_supp_stat
1;implement Franc;invoice;Chicken Assistant secondary;Cotton;true
2;fuchsia index De-engineered;Soft Granite;indexing Metal;Representative;true
3;Isle calculate;object-oriented Ball;human-resource;Vermont PCI;true
4;Steel Martin Steel;withdrawal e-business;Chips;payment;true
5;Bolivia;Concrete Junction lime;payment Account feed;throughput Group multi-byte;true
6;AGP;Licensed;bypassing Customer;heuristic;false
7;Account Branding Refined;Mills;Robust fuchsia;scale local Real;false
8;models 5th neural;Product;open-source;Wooden Account;false
9;Forge;capacitor;e-business Mouse calculating;Down-sized;true
10;Interface Enhanced Steel;capacitor Communications Shoals;Buckinghamshire Rubber Identity;1080p Factors Card;true
