info_supp_type_id;info_supp_type_name;info_supp_type_description;info_supp_type_params;info_supp_type_attributs;info_supp_type_stat
1;Pants Washington;Fresh monitor;Rubber;Belarus;true
2;CFA;Mozambique;background Associate;generating;true
3;Tasty Agent;Motorway;approach;payment;true
4;Awesome Bedfordshire Cambridgeshire;Music Rufiyaa;Mississippi driver online;structure;true
5;Architect Assimilated;South Turkey SMS;niches California;white Pound Computers;false
6;streamline;District Peso withdrawal;card;Baby best-of-breed;true
7;Liaison Glen;Centralized;didactic Cotton;Nevada;true
8;brand withdrawal California;Open-source Causeway;virtual New pixel;Fresh Communications;true
9;Consultant card overriding;Keyboard Reduced Berkshire;Infrastructure Accountability;application;false
10;withdrawal;interfaces;markets;Soft District up;false
