log_history;log_history_description;log_history_params;log_history_attributs;log_history_stat
1;Beauty parsing gold;Up-sized Market synthesizing;online wireless;true
2;Up-sized;Legacy Shirt;Fish;false
3;Designer;eyeballs Automotive;mission-critical Research bricks-and-clicks;false
4;Steel white;Jordan Plastic;Pula Mississippi USB;false
5;markets;disintermediate GB bi-directional;Quality;true
6;Square;Cambridgeshire knowledge;driver Music hybrid;true
7;Supervisor Chair sky;Awesome Human deliver;Paradigm override Bolivia;false
8;encryption;Dollar Concrete;deposit;true
9;Wooden Borders;monitor Beauty;Shirt;false
10;Cambridgeshire Tasty Steel;bleeding-edge overriding extend;Bouvet;true
