operation_type_id;operation_type_value;operation_type_description;operation_type_params;operation_type_attributs;operation_type_stat
1;Implemented overriding;driver Checking;Cambridgeshire;lime Quality;true
2;Card IB;definition HDD;payment Pants;Fresh plug-and-play;false
3;Wooden;France payment;Springs Dam Plastic;HDD Granite;true
4;asynchronous Innovative;Wisconsin;Manager Franc Utah;maximize systematic;false
5;synthesizing global Refined;SCSI;Product Cambridgeshire;Hat;false
6;cutting-edge;neural-net Producer;Health digital Dynamic;Parks;false
7;tan;reboot;generate;whiteboard;false
8;Villages synergies Berkshire;Avon Tanzania;Awesome;Home Producer;true
9;haptic Cambridgeshire;Sleek;AGP index impactful;pixel;true
10;connecting Auto Business-focused;cross-platform distributed;generating;Mayotte generating;true
