printing_type_id;printing_type_value;printing_type_description;printing_type_params;printing_type_attributs;printing_type_stat
1;Shilling Avenue Gorgeous;Concrete;COM;Fresh Rupee Market;true
2;firmware RSS;transparent Clothing Pound;invoice bandwidth Berkshire;Market Personal mission-critical;false
3;archive logistical Berkshire;Cambridgeshire;RAM generating;invoice Metal;true
4;turn-key Metrics deposit;Mexico;Loti Boliviano payment;payment;false
5;port Inlet;Integration;Computers Handcrafted;withdrawal;true
6;Internal parsing quantifying;Uruguayo Computer Mississippi;Agent;parse;false
7;Fantastic;port Program;Agent Computer;global;false
8;Security Unbranded Rubber;panel Music TCP;definition;Baby;true
9;Clothing turquoise;Small;quantifying Coordinator Jewelery;standardization motivating Wooden;false
10;matrix Rubber system;neural;models Agent invoice;Intranet;true
