sexe_id;sexe_value;sexe_description;sexe_type_params;sexe_type_attributs;sexe_stat
1;Designer Refined Account;Trail compress Diverse;Integration;web-enabled;true
2;Jewelery Specialist;Future Montenegro Towels;wireless Computers;bandwidth Cambridgeshire static;true
3;cross-platform vertical Games;primary;Concrete transmit explicit;bleeding-edge withdrawal Cotton;false
4;Cotton USB Romania;unleash Security;synthesizing utilize;Kids;true
5;Awesome;Officer;Somali protocol;Greens RAM;false
6;Italy;Baby Grocery Assistant;Market implement;Steel;false
7;overriding scale red;Crossing Officer Checking;Soft;Tools matrix;true
8;SAS users;encryption approach withdrawal;Verde back;Chair;true
9;project Account projection;Accountability Carolina Wisconsin;sticky circuit;Avon systems;false
10;Creative haptic Engineer;Mandatory Direct;Facilitator;info-mediaries;true
